iter	RMSE
0	2903261709
1	2803621316
2	2712634476
3	2623292308
4	2534215538
5	2458190922
6	2383850239
7	2316239823
8	2251065535
9	2186534135
10	2124576857
11	2065744754
12	2009814938
13	1964426704
14	1913427959
15	1867338788
16	1831815501
17	1794869395
18	1762001993
19	1727399963
20	1695791404
21	1662361329
22	1637705007
23	1609381026
24	1581934344
25	1555684965
26	1530223507
27	1507945757
28	1485787899
29	1466742968
30	1447313995
31	1428198932
32	1413762096
33	1395945521
34	1381982138
35	1365966782
36	1351267111
37	1337848275
38	1327361137
39	1315178213
40	1303754445
41	1292797200
42	1282135939
43	1272449443
44	1263797652
45	1253523536
46	1244530157
47	1237281984
48	1229899950
49	1221647543
50	1214141929
51	1207801863
52	1200426320
53	1192605602
54	1186911222
55	1181173945
56	1176671298
57	1171329627
58	1166730870
59	1161812388
60	1155383390
61	1149268070
62	1143786449
63	1140917704
64	1136890730
65	1133234703
66	1127396218
67	1122725238
68	1118543414
69	1114680932
70	1111249207
71	1108148154
72	1105936581
73	1103245076
74	1100300762
75	1097151820
76	1094768338
77	1092067687
78	1089850210
79	1087384705
80	1085524370
81	1082456235
82	1079316821
83	1077033740
84	1074728372
85	1072402615
86	1069270416
87	1066918820
88	1064958444
89	1063239323
90	1061258207
91	1059578017
92	1057561042
93	1055044910
94	1053831829
95	1050873247
96	1049311238
97	1047587475
98	1044809458
99	1043131146
100	1040842213
101	1039205573
102	1037011240
103	1035947817
104	1033974084
105	1032409612
106	1030882814
107	1029779398
108	1028253873
109	1026957127
110	1024660621
111	1022946620
112	1020868557
113	1019366434
114	1017443611
115	1015508302
116	1014052887
117	1012079784
118	1008952492
119	1008073169
120	1005696980
121	1004454032
122	1003276400
123	1002002281
124	1000132668
125	998529100.9
126	997629234.4
127	996331065.2
128	994884393.4
129	993054788.7
130	992136709.7
131	991644057.1
132	990174181.9
133	989402942.9
134	988028355.8
135	986689019.4
136	986144302.5
137	985232690
138	983172461.5
139	982430062.2
140	981673740.1
141	981005363.7
142	980432360.3
143	979147810.8
144	978309240.6
145	976657467.1
146	975977339.6
147	974531637.6
148	973148720.4
149	971868434.1
150	971072351.4
151	969855400.8
152	969027309.2
153	968247670.7
154	967096109.5
155	966546647.4
156	965198163.5
157	964189936.9
158	962738370.5
159	961787617.6
160	960335673
161	958424336.2
162	957498648.4
163	956169676.5
164	955621921.5
165	954148147.4
166	952738371.4
167	952036281.1
168	950740847.8
169	949569021
170	947951719.4
171	945955936.9
172	944378477.4
173	942934544.8
174	942341461.4
175	940575659.1
176	939224341.3
177	938166168.9
178	936851085.7
179	936074988.8
180	935228462.7
181	933543362.4
182	932505151.1
183	932016265.6
184	930879689.8
185	929966509.5
186	929341340.9
187	928159633.3
188	927303281.1
189	925913765.5
