iter	Passed	Remaining
0	56	56180
1	60	30166
2	64	21331
3	68	16998
4	70	14022
5	72	12080
6	74	10598
7	76	9471
8	79	8729
9	81	8025
10	82	7402
11	83	6888
12	85	6456
13	86	6072
14	87	5735
15	88	5455
16	91	5293
17	93	5108
18	95	4911
19	96	4716
20	97	4535
21	98	4368
22	99	4216
23	100	4081
24	101	3954
25	102	3838
26	103	3735
27	104	3635
28	105	3544
29	106	3457
30	107	3374
31	109	3300
32	110	3231
33	111	3163
34	112	3110
35	114	3052
36	115	3009
37	117	2984
38	121	3001
39	123	2972
40	125	2939
41	127	2900
42	128	2863
43	130	2844
44	132	2804
45	134	2779
46	136	2760
47	137	2721
48	138	2684
49	139	2650
50	140	2618
51	142	2590
52	143	2564
53	145	2545
54	147	2531
55	149	2519
56	151	2508
57	152	2481
58	153	2454
59	155	2431
60	156	2406
61	158	2404
62	161	2399
63	164	2405
64	167	2410
65	168	2389
66	170	2380
67	172	2359
68	173	2337
69	174	2315
70	175	2295
71	176	2274
72	177	2254
73	179	2242
74	180	2232
75	182	2218
76	183	2201
77	184	2186
78	186	2172
79	187	2155
80	188	2139
81	189	2123
82	190	2107
83	191	2092
84	193	2078
85	195	2079
86	198	2081
87	201	2083
88	202	2076
89	204	2064
90	205	2050
91	206	2036
92	207	2022
93	208	2009
94	209	1997
95	210	1984
96	211	1971
97	212	1959
98	214	1947
99	218	1965
100	220	1962
101	222	1955
102	225	1964
103	228	1971
104	230	1965
105	232	1960
106	233	1949
107	234	1938
108	235	1927
109	236	1915
110	237	1903
111	238	1894
112	241	1893
113	242	1886
114	244	1882
115	245	1874
116	247	1865
117	248	1855
118	249	1847
119	250	1838
120	255	1858
121	257	1851
122	259	1847
123	260	1842
124	261	1833
125	263	1824
126	264	1818
127	266	1814
128	267	1807
129	269	1800
130	271	1801
131	273	1797
132	275	1795
133	276	1787
134	278	1785
135	281	1788
136	282	1779
137	283	1772
138	285	1765
139	286	1759
140	287	1752
141	289	1746
142	291	1747
143	292	1741
144	294	1738
145	296	1733
146	297	1728
147	299	1724
148	302	1724
149	304	1722
150	306	1721
151	308	1718
152	309	1712
153	310	1706
154	311	1700
155	313	1693
156	314	1688
157	316	1688
158	318	1682
159	319	1676
160	320	1669
161	321	1662
162	322	1656
163	324	1656
164	327	1656
165	329	1657
166	331	1655
167	333	1651
168	335	1648
169	336	1643
170	339	1644
171	340	1637
172	341	1631
173	342	1625
174	343	1620
175	346	1621
176	348	1618
177	349	1613
178	351	1610
179	352	1605
180	353	1599
181	354	1593
182	355	1587
183	356	1581
184	357	1575
185	358	1570
186	359	1565
187	363	1568
188	365	1569
189	367	1565
190	368	1562
191	369	1557
192	374	1564
193	376	1565
194	378	1563
195	380	1560
196	382	1558
197	383	1553
198	384	1548
199	385	1543
200	387	1538
201	388	1533
202	389	1528
203	390	1522
204	391	1517
205	392	1512
206	393	1508
207	395	1505
208	397	1505
209	399	1501
210	400	1498
211	401	1493
212	402	1488
213	405	1488
214	408	1489
215	409	1488
216	411	1485
217	412	1480
218	413	1475
219	415	1471
220	416	1468
221	417	1463
222	419	1460
223	421	1458
224	422	1455
225	424	1453
226	425	1450
227	427	1446
228	428	1441
229	429	1437
230	430	1433
231	431	1429
232	432	1424
233	433	1419
234	435	1416
235	438	1419
236	440	1417
237	441	1415
238	443	1411
239	444	1406
240	445	1402
241	446	1398
242	448	1398
243	451	1398
244	453	1398
245	455	1394
246	456	1393
247	458	1389
248	459	1385
249	460	1380
250	461	1376
251	462	1372
252	463	1368
253	464	1364
254	465	1360
255	468	1361
256	470	1359
257	471	1357
258	473	1353
259	474	1351
260	475	1347
261	477	1345
262	479	1345
263	481	1342
264	483	1342
265	485	1339
266	487	1337
267	488	1333
268	489	1329
269	490	1326
270	491	1322
271	493	1320
272	494	1318
273	496	1315
274	497	1311
275	498	1307
276	499	1304
277	500	1301
278	502	1297
279	504	1296
280	505	1294
281	507	1291
282	510	1292
283	512	1291
284	513	1288
285	515	1287
286	516	1284
287	518	1281
288	519	1278
289	521	1276
290	524	1277
291	526	1276
292	528	1274
293	529	1271
294	531	1269
295	532	1266
296	533	1263
297	534	1259
298	535	1256
299	536	1252
300	538	1249
301	539	1246
302	540	1244
303	543	1243
304	544	1240
305	546	1239
306	548	1238
307	549	1235
308	551	1234
309	554	1233
310	555	1230
311	559	1234
312	561	1231
313	562	1228
314	563	1225
315	565	1223
316	566	1220
317	567	1216
318	568	1213
319	569	1210
320	570	1207
321	571	1204
322	573	1201
323	576	1202
324	577	1200
325	579	1197
326	580	1195
327	583	1195
328	585	1195
329	587	1192
330	588	1189
331	589	1186
332	590	1183
333	592	1182
334	594	1179
335	595	1177
336	597	1175
337	599	1174
338	601	1172
339	602	1169
340	603	1167
341	605	1164
342	606	1160
343	607	1157
344	608	1154
345	609	1151
346	610	1148
347	611	1145
348	613	1144
349	615	1142
350	617	1141
351	618	1138
352	619	1135
353	620	1132
354	622	1130
355	623	1127
356	624	1124
357	625	1121
358	627	1120
359	629	1119
360	631	1117
361	633	1116
362	635	1114
363	636	1112
364	637	1109
365	638	1106
366	639	1103
367	640	1100
368	642	1097
369	643	1094
370	644	1092
371	645	1089
372	648	1089
373	650	1088
374	652	1087
375	653	1084
376	654	1081
377	655	1078
378	657	1076
379	659	1076
380	661	1075
381	663	1073
382	665	1071
383	666	1069
384	667	1066
385	669	1064
386	670	1061
387	671	1058
388	672	1056
389	674	1055
390	675	1052
391	677	1050
392	678	1048
393	679	1045
394	680	1042
395	681	1039
396	682	1037
397	684	1034
398	687	1036
399	689	1034
400	691	1033
401	693	1031
402	694	1029
403	696	1027
404	697	1024
405	698	1021
406	699	1019
407	700	1016
408	701	1013
409	703	1012
410	706	1012
411	708	1011
412	710	1009
413	711	1007
414	712	1004
415	713	1002
416	714	999
417	716	997
418	717	994
419	718	992
420	720	990
421	722	989
422	725	989
423	726	987
424	728	985
425	729	982
426	730	980
427	731	977
428	732	975
429	735	975
430	737	974
431	739	972
432	741	970
433	742	968
434	743	966
435	744	963
436	746	961
437	748	960
438	750	958
439	751	956
440	752	954
441	753	951
442	755	949
443	756	947
444	758	945
445	759	942
446	760	940
447	761	938
448	762	935
449	763	933
450	765	931
451	767	930
452	771	931
453	772	929
454	774	927
455	778	928
456	780	927
457	781	925
458	783	923
459	784	920
460	785	918
461	787	916
462	788	914
463	789	911
464	791	910
465	793	909
466	795	907
467	796	905
468	797	903
469	799	901
470	800	898
471	801	896
472	802	894
473	803	891
474	805	890
475	807	889
476	810	888
477	811	886
478	812	883
479	813	881
480	815	879
481	816	877
482	817	874
483	818	872
484	819	870
485	820	868
486	822	865
487	825	866
488	827	865
489	829	863
490	830	860
491	831	858
492	832	856
493	833	854
494	835	852
495	838	851
496	840	850
497	842	849
498	844	847
499	845	845
500	846	843
501	847	840
502	848	838
503	849	836
504	851	834
505	853	832
506	854	830
507	855	828
508	856	826
509	857	823
510	858	821
511	860	819
512	862	818
513	863	816
514	865	814
515	867	813
516	869	812
517	870	810
518	873	809
519	874	807
520	876	805
521	877	803
522	878	801
523	882	801
524	883	799
525	884	797
526	886	795
527	887	793
528	889	791
529	890	789
530	891	787
531	892	784
532	893	782
533	894	780
534	895	778
535	897	777
536	900	776
537	901	774
538	903	772
539	904	770
540	906	768
541	907	766
542	909	765
543	912	765
544	914	763
545	916	761
546	918	760
547	919	758
548	920	756
549	921	754
550	922	751
551	923	749
552	924	747
553	926	745
554	927	743
555	928	741
556	929	739
557	930	737
558	933	736
559	935	734
560	936	733
561	938	731
562	939	729
563	941	728
564	943	726
565	945	725
566	948	724
567	949	722
568	950	720
569	951	718
570	952	715
571	953	713
572	956	712
573	957	710
574	959	709
575	960	707
576	961	705
577	962	703
578	963	700
579	965	698
580	966	696
581	967	694
582	970	693
583	971	691
584	972	689
585	973	687
586	975	686
587	976	684
588	977	682
589	978	680
590	979	678
591	980	676
592	982	674
593	983	672
594	984	670
595	986	668
596	988	667
597	990	665
598	992	664
599	993	662
600	995	660
601	996	658
602	997	656
603	998	654
604	999	652
605	1000	650
606	1002	648
607	1003	646
608	1005	645
609	1007	644
610	1010	643
611	1011	641
612	1012	639
613	1013	637
614	1015	635
615	1018	634
616	1020	633
617	1022	631
618	1024	630
619	1025	628
620	1026	626
621	1028	625
622	1029	623
623	1030	621
624	1033	620
625	1034	618
626	1035	616
627	1037	614
628	1038	612
629	1039	610
630	1040	608
631	1042	606
632	1043	605
633	1045	603
634	1047	602
635	1049	600
636	1051	599
637	1053	597
638	1055	596
639	1057	594
640	1059	593
641	1060	591
642	1062	590
643	1065	588
644	1067	587
645	1068	585
646	1069	583
647	1071	581
648	1072	579
649	1073	577
650	1074	575
651	1076	574
652	1077	572
653	1080	571
654	1083	570
655	1085	569
656	1086	567
657	1087	565
658	1088	563
659	1093	563
660	1095	561
661	1096	560
662	1098	558
663	1099	556
664	1100	554
665	1102	552
666	1103	551
667	1104	549
668	1106	547
669	1107	545
670	1108	543
671	1109	541
672	1110	539
673	1112	537
674	1115	536
675	1116	535
676	1118	533
677	1119	531
678	1120	529
679	1123	528
680	1126	527
681	1128	526
682	1129	524
683	1130	522
684	1132	520
685	1133	518
686	1134	516
687	1136	515
688	1138	513
689	1140	512
690	1141	510
691	1142	508
692	1143	506
693	1145	504
694	1146	503
695	1147	501
696	1149	499
697	1151	498
698	1154	497
699	1156	495
700	1158	494
701	1159	492
702	1161	490
703	1162	488
704	1164	487
705	1165	485
706	1166	483
707	1168	482
708	1170	480
709	1173	479
710	1175	477
711	1176	475
712	1177	474
713	1178	472
714	1179	470
715	1180	468
716	1182	466
717	1183	464
718	1184	463
719	1187	461
720	1189	460
721	1191	458
722	1192	456
723	1193	455
724	1194	453
725	1196	451
726	1197	449
727	1200	448
728	1202	446
729	1203	445
730	1204	443
731	1206	441
732	1208	440
733	1209	438
734	1210	436
735	1211	434
736	1214	433
737	1215	431
738	1217	429
739	1218	428
740	1219	426
741	1221	424
742	1223	423
743	1225	421
744	1227	420
745	1230	418
746	1231	417
747	1233	415
748	1235	414
749	1237	412
750	1238	410
751	1239	408
752	1241	407
753	1243	405
754	1246	404
755	1247	402
756	1249	401
757	1250	399
758	1251	397
759	1252	395
760	1253	393
761	1255	391
762	1257	390
763	1258	388
764	1261	387
765	1262	385
766	1264	384
767	1265	382
768	1266	380
769	1267	378
770	1268	376
771	1269	374
772	1271	373
773	1273	371
774	1275	370
775	1276	368
776	1277	366
777	1279	365
778	1281	363
779	1282	361
780	1283	359
781	1284	358
782	1285	356
783	1286	354
784	1287	352
785	1289	350
786	1290	349
787	1291	347
788	1293	345
789	1295	344
790	1297	342
791	1299	341
792	1300	339
793	1302	337
794	1304	336
795	1306	334
796	1308	333
797	1309	331
798	1310	329
799	1311	327
800	1312	326
801	1313	324
802	1315	322
803	1316	320
804	1319	319
805	1320	317
806	1321	316
807	1323	314
808	1324	312
809	1325	310
810	1326	309
811	1328	307
812	1330	306
813	1333	304
814	1335	303
815	1336	301
816	1338	299
817	1339	297
818	1340	296
819	1341	294
820	1342	292
821	1343	291
822	1345	289
823	1346	287
824	1348	286
825	1350	284
826	1352	282
827	1354	281
828	1355	279
829	1356	277
830	1357	276
831	1358	274
832	1359	272
833	1360	270
834	1362	269
835	1363	267
836	1365	265
837	1367	264
838	1369	262
839	1370	261
840	1372	259
841	1373	257
842	1374	256
843	1376	254
844	1378	252
845	1380	251
846	1382	249
847	1383	247
848	1384	246
849	1385	244
850	1386	242
851	1387	241
852	1389	239
853	1391	237
854	1393	236
855	1394	234
